datetime,confirmed,cured,dead
2020-02-14 01:06,63836,6939,1488
2020-02-14 02:03,63922,7000,1489
2020-02-14 02:59,63929,7003,1381
2020-02-14 04:05,63935,6809,1381
2020-02-14 05:01,63936,6809,1381
2020-02-14 05:32,63936,6842,1381
2020-02-14 06:30,63936,6884,1381
2020-02-14 07:49,63940,6906,1381
2020-02-14 08:57,63946,6930,1382
2020-02-14 09:53,63946,7003,1382
2020-02-14 11:06,63946,7039,1382
2020-02-14 12:05,63946,7042,1382
2020-02-14 12:47,63946,7076,1382
2020-02-14 13:59,63947,7087,1382
2020-02-14 14:59,63948,7087,1382
2020-02-14 15:17,63950,7092,1382
2020-02-14 16:40,63950,7092,1382
2020-02-15 00:09,66390,7980,1521
2020-02-15 01:00,66576,8101,1524
2020-02-15 02:04,66576,8101,1524
2020-02-15 02:21,66576,8101,1524
2020-02-15 03:48,66576,8184,1524
2020-02-15 04:55,66577,8200,1524
2020-02-15 06:01,66577,8208,1524
2020-02-15 06:58,66577,8270,1524
2020-02-15 07:37,66579,8270,1524
2020-02-15 09:03,66580,8315,1524
2020-02-15 09:44,66580,8362,1524
2020-02-15 10:38,66580,8362,1524
